Item code,Item Description,UOM,Bin Location,
0004-08-257-I,Flucytosine 500mg Tab,TAB,7G-2-978,
0010-24-015-D,Procainamide Hcl 1000mg/10mL Inj,EA,7G-2-979,
0000-33-14X-9,TerbiNAFine 250mg Tab,EA,7G-2-980,
1079-56-94X-1,"Sofosbuvir,Velpatasvir 400/100mg Tablet",EA,7G-2-981,
0005-92-003-G,Talcum Powder Sterile,EA,7G-3-982,
0004-68-118-G,ClomiFENE Citrate 50mg Tablet,EA,7G-3-983,
0001-68-026-K,Beclometasone Dipr 250mcg Inh 200D,EA,7G-3-984,
0013-84-039-J,Lidocaine Hcl 2% Viscous Soln 100Ml/120Ml,BTL,7G-3-985,
0008-52-278-C,Ganfort Eye Drop 3mL,EA,7G-3-986,
0725-88-14X-4,Glyceryl Trinit S/L 0.5mg Tablet 30'S,BTL,7G-3-987,
0000-24-59X-7,LeFLUnomide 20mg Tab ,EA,7G-4-988,
0000-13-93X-7,Alverine 60mg Simethicone 300mg Capsule,EA,7G-4-989,
0004-08-228-K,Darunavir 600mg Tablet (Prezista),EA,7G-4-990,
0004-08-241-E,RiFAXimin 550mg Tab,EA,7G-4-991,
0004-08-056-F,Neomycin Sulfate 500mg Tablet,EA,7G-4-992,
9131-04-71X-4,"BrinZOLamide 1%, BriMONidine 0.2% ED 5ML",EA,7G-4-993,
0013-84-126-D,Ketoconazole 2% Shampoo 120mL,BTL,7G-5-994,
0005-84-157-I,"Coal Tar 10%, Aqueous Cream 30g",EA,7G-5-995,
0595-54-73X-0,Ivermectin 10mg/g Cream 30G,EA,7G-5-997,
0010-92-176-I,Zoledronic Acid 4mg Injection,EA,7G-5-998 to 999,
0020-56-010-K,Mesalazine 2g/30mL Enema,EA,7G-6-1000 to 1001,
0005-84-007-F,Lidocaine HCl 2% Gel 10g,EA,7G-6-1002 to 1003,
0015-48-024-W,Guaifenesin 100mg/5mL Syrup 100mL,BTL,7G-6-1004 to 1005,
2084-79-60X-5,Alcohol 96% PF Injection 10mL,EA,8A-1-1012,
0010-08-089-K,Ganciclovir 500mg Inj (Cymevene),EA,8A-1-1013,
0010-24-014-F,Dipyridamole 10mg/2mL Injection,EA,8A-1-1014,
